name,name_kr,bre_name,country,대분류,소분류,abv,image
Hop Skip,,BrickStone Restaurant & Brewery,US,ALE,American Pale Ale (APA),7.8,pa.jpg
Hop Showers,,Other Half Brewing Co.,US,ALE,American IPA,7.4,ipa.jpg
Hop Shovel,,Bear Republic Brewing Co.,US,ALE,American IPA,7.5,ipa.jpg
Hop Shortage,,Knee Deep Brewing Company,US,ALE,American Imperial IPA,11.3,ipa.jpg
Hop Session India Pale Ale,,White Birch Brewing,US,ALE,American IPA,5,ipa.jpg
Hop Savant - Galaxy,,Crooked Stave Artisan Beer Project,US,ALE,American IPA,7,ipa.jpg
Hop Ryot,,Jackie O's Pub & Brewery,US,ALE,American IPA,6.5,ipa.jpg
Hop Rod Rye,,Bear Republic Brewing Co.,US,ALE,American IPA,8,ipa.jpg
Hop Riot IPA,,High Water Brewing,US,ALE,American IPA,7.3,ipa.jpg
Hop Ranch,,Victory Brewing Company - Downingtown,US,ALE,American Imperial IPA,9,ipa.jpg
Hop Program - Beer IV,,Maine Beer Company,US,ALE,American IPA,7,ipa.jpg
Hop Program - Beer III,,Maine Beer Company,US,ALE,American Black Ale,5.5,dale.jpg
Hop Program - Beer II,,Maine Beer Company,US,ALE,American IPA,4.7,ipa.jpg
Hop Program - Beer I,,Maine Beer Company,US,ALE,American IPA,6.5,ipa.jpg
Hop Perfect IPA,,Yazoo Brewing Company,US,ALE,American IPA,6,ipa.jpg
Hop Odyssey: Symposium IPA,,Green Flash Brewing Co.,US,ALE,American IPA,7,ipa.jpg
Hop Odyssey: Mosaic Session India Pale Ale,,Green Flash Brewing Co.,US,ALE,American IPA,4.5,ipa.jpg
Hop Odyssey: Citra Session IPA,,Green Flash Brewing Co.,US,ALE,American IPA,4.5,ipa.jpg
Hop Odyssey: Cedar Plank Pale Ale,,Green Flash Brewing Co.,US,ALE,American Pale Ale (APA),6,pa.jpg
Hop Odyssey: Black IPA,,Green Flash Brewing Co.,US,ALE,American Black Ale,7.2,dale.jpg
Hop Oddysey: Double Columbus,,Green Flash Brewing Co.,US,ALE,American Imperial IPA,8.8,ipa.jpg
Hop Nosh IPA,,Uinta Brewing Company,US,ALE,American IPA,7.3,ipa.jpg
Hop Meadow IPA,,Thomas Hooker Brewing Company,US,ALE,American IPA,6.4,ipa.jpg
Hop Master's Abbey Belgian-Style Double IPA,,Hoppin' Frog Brewery,US,ALE,Belgian IPA,8.5,ipa.jpg
Hop Madness Double IPA,,Great Lakes Brewing Co.,US,ALE,American Imperial IPA,8,ipa.jpg
Hop Lava IPA,,Double Mountain Brewery & Taproom,US,ALE,American IPA,7,ipa.jpg
Hop Knot,,Four Peaks Brewing Company - 8th Street Brewery,US,ALE,American IPA,6.7,ipa.jpg
Hop Knife Harvest Ale,,Troegs Brewing Company,US,ALE,American IPA,6.2,ipa.jpg
Hop Kitchen - Super IPA (Collaboration W/ Alpine Beer Co.),,New Belgium Brewing,US,ALE,American Imperial IPA,9,ipa.jpg
Hop Kitchen - RyePA,,New Belgium Brewing,US,ETC,Rye Beer,6.6,lg.jpg
Hop Kitchen - Hoppy Bock Lager,,New Belgium Brewing,US,ETC,German Maibock,6.9,lg.jpg
Hop Kitchen - Hop The Pond,,New Belgium Brewing,US,ALE,American Imperial IPA,8,ipa.jpg
Hop Kitchen - Hop Tart,,New Belgium Brewing,US,ALE,American IPA,5,ipa.jpg
Hop Kitchen - Fresh Hop India Pale Ale,,New Belgium Brewing,US,ALE,American IPA,7,ipa.jpg
Hop Kitchen - French Aramis IPA,,New Belgium Brewing,US,ALE,American IPA,6.7,ipa.jpg
Hop Kitchen - APA (FOCOllaboration W/ Odell Brewing),,New Belgium Brewing,US,ALE,American Pale Ale (APA),6.7,pa.jpg
Hop JuJu Imperial IPA,,Fat Head's Brewery & Saloon,US,ALE,American Imperial IPA,9,ipa.jpg
Hop Jockey,,"Lakefront Brewery, Inc.",US,ALE,American Imperial IPA,8.2,ipa.jpg
Hop Hwy IPA,,Belching Beaver Brewery,US,ALE,American IPA,7.3,ipa.jpg
Hop Hunter,,Sierra Nevada Brewing Co.,US,ALE,American IPA,6.2,ipa.jpg
Hop House,,Brewery Ommegang,US,ALE,Belgian Pale Ale,6,pa.jpg
Hop Hop And Away,,Aeronaut Brewing Company,US,ALE,American Pale Ale (APA),4.6,pa.jpg
Hop Hog India Pale Ale,,Lancaster Brewing Company,US,ALE,American IPA,7,ipa.jpg
Hop Heathen,,Hoppin' Frog Brewery,US,ALE,American Black Ale,8.8,dale.jpg
Hop Hearty Ale,,New Glarus Brewing Company,US,ALE,American IPA,6.1,ipa.jpg
